SRC,DST,FLOWSIZE (BYTE),DURATION (MS),STARTTIME (MS)
437,409,3160,0.006477,0.130937
617,172,10000,0.006364,0.440137
586,358,100001,0.026577,0.440109
80,467,560,0.003688,0.527495
91,11,250,0.002302,0.566007
436,539,1870,0.006177,0.589516
437,535,180,0.004370,0.639531
589,3,1870,0.004864,0.865060
48,376,180,0.003308,1.052865
183,240,10000,0.007677,1.184709
508,102,900,0.004028,1.465188
639,619,1850000,0.407467,1.520688
504,103,560,0.003688,2.031402
621,640,560,0.005197,2.038140
462,80,100001,0.025264,2.307506
79,462,560,0.003688,2.438561
402,18,900,0.004028,2.637054
618,640,900,0.003856,2.673761
95,106,900,0.005234,2.727333
94,6,560,0.004826,3.118775
70,370,3160,0.005164,3.955987
401,582,180,0.002246,4.047234
591,3,900,0.004028,4.333251
103,379,3160,0.005164,4.840548
53,229,180,0.004370,5.386533
307,584,10000,0.006364,5.417767
393,356,180,0.004370,5.462931
187,232,250,0.002302,5.973695
638,521,10000,0.007702,5.998816
178,23,900,0.003010,6.131460
53,384,900,0.004028,6.900057
621,637,30000000,6.331677,0.742410
194,554,560,0.003688,7.084906
390,359,100001,0.023951,7.370572
531,616,560,0.004826,7.462560
23,335,10000000,2.102394,5.408100
402,18,180,0.003308,8.180695
174,172,250,0.004454,8.185174
